ra,dec,apflux_r_0.5arcsec,apflux_r_0.75arcsec,apflux_r_1.0arcsec,apflux_r_1.5arcsec,apflux_r_2.0arcsec,apflux_r_3.5arcsec,apflux_r_5.0arcsec
63.79437597149576,6.333858590633099,35.5109,62.2502,83.1235,104.126,111.0793,116.5378,118.8329
63.79518713556738,-41.25898663,14.9542,25.8743,36.3044,55.2717,64.7343,69.8741,71.2832
63.79518723793245,-2.081800554,44.3381,71.5294,88.4809,102.4728,106.8738,110.5453,111.9272
63.79538254879235,-41.2592193,17.6804,32.1319,45.3672,61.2269,66.6131,70.1325,71.4532
63.79674293860864,-80.99170617,15.2663,26.5257,35.0213,43.3975,46.2074,48.2969,49.1834
63.79685706583338,-17.939679,8.7582,15.0809,19.6472,24.2092,26.2918,37.9994,40.9277
63.796882745166336,-72.07492387,35.5836,62.2118,83.4201,108.0058,118.6084,127.1577,129.1236
63.80009665544367,-52.33085785,23.0654,40.9089,55.0684,70.2841,76.194,81.2348,82.8725
63.8002576917524,-61.73365177,34.6018,56.6771,71.0279,83.3764,87.4522,90.7054,92.336
63.80084673868336,-36.57016999,38.6514,65.1242,83.9686,101.6451,108.0001,113.1419,114.5431
63.80100898625273,-57.54804159,51.4462,84.4153,105.3307,124.0406,130.7369,136.1911,137.7112
63.80112799219918,-25.59369735,16.9548,30.7372,42.2408,54.5371,58.8729,62.0805,63.0819
63.8012703625881,-25.59362763,19.819,34.3203,45.1552,55.6188,59.2273,62.1225,63.0542
63.80148222892258,-65.333512,14.2745,24.2327,31.5583,38.9283,41.6458,44.3891,54.1671
63.8022214278199,9.11893246774324,48.14,88.5487,123.76,166.2105,184.3216,199.0701,202.7746
63.8029045531626,-46.27916885,17.4041,29.831,38.5073,46.5904,49.5329,52.0805,53.0228
63.80323074040969,9.356153605780593,22.8603,39.4783,51.9261,64.1724,68.81,72.9007,75.1832
63.80361998524114,0.1830636850438974,4.3439,8.0551,11.5777,16.2714,18.218,19.7944,20.635
63.80392436918329,-19.96335822,7.9076,13.822,18.3608,23.1106,25.0114,26.6653,27.4404
63.80469644604641,-43.83355389,8.7507,14.7831,18.8725,22.2567,23.2878,24.3433,25.2552
63.80501377579984,-2.099915193,36.6819,61.6632,78.4688,92.3004,96.4867,99.7114,101.0256
63.805448044661766,5.641286904623186,17.7193,34.5024,51.1864,74.5276,84.9546,94.1465,96.8845
63.809350957997616,-13.25617077,43.5781,81.5893,114.7209,153.1996,168.9841,184.317,189.0734
63.809483579336565,-25.38493508,15.0307,26.4589,35.9823,47.6157,52.1616,55.3877,56.4983
63.80953575291983,-69.98660167,37.2537,64.4062,84.844,104.8213,111.7192,117.0278,118.4257
63.80957834491092,-12.95759402,28.8783,51.8169,70.5545,90.975,97.9724,102.5645,104.4669
63.80998445659373,-46.17094202,61.8356,101.6792,127.9122,150.8431,158.9282,165.7055,167.5133
63.81053235449736,7.498630221788028,32.6262,58.4722,78.2099,98.8454,106.7604,113.4239,115.463
63.811411077830776,-54.53052316,23.6755,40.0992,51.6395,62.254,65.9463,68.855,69.8451
63.81145328071087,-16.06146169,67.3454,111.5193,141.1566,167.927,177.5388,185.6598,187.8252
63.8125576477372,-53.36889815,17.5603,30.484,40.6295,51.187,55.3407,58.7639,59.8114
63.812817790869104,-8.209168922,15.0039,26.8107,36.6099,48.3716,53.656,58.3306,60.2538
63.816952247212576,-30.02064829,23.4399,40.5368,53.2735,66.5173,71.9292,76.9583,78.4719
63.81769935069339,-15.15583077,17.3189,33.5447,49.9085,75.9271,91.2061,105.3439,108.2638
63.81924150374943,-63.26174197,7.6195,12.8786,17.2295,23.3279,25.7743,27.3371,28.2867
63.821604146933296,-27.09945204,10.9218,18.8345,24.7542,30.9387,33.3292,35.3177,36.0681
63.822565213607874,-21.37568387,9.6084,16.1624,20.733,25.1729,26.8618,28.3765,29.5286
63.82319520010401,6.740939027913814,14.9883,25.638,33.2356,39.8861,41.9337,43.7367,45.4597
63.82322609679463,6.741095772919604,10.0015,19.2205,27.9539,38.1179,41.5131,43.7902,45.8436
63.828054260358094,-20.84191676,9.6105,16.4799,21.4961,26.301,28.0382,29.5401,30.3836
63.82878892933953,-14.20750895,8.4654,15.1959,20.6719,26.2684,28.2563,30.2866,31.6675
63.83097045513912,-63.84112334,14.5596,24.684,32.081,39.3928,41.8742,43.8731,44.697
63.83130534814253,-59.95192209,8.8802,15.3267,21.1753,31.6936,36.9801,39.8771,40.6759
63.83187574023019,-59.95194357,9.4249,17.1985,24.6616,34.6524,37.9776,39.9825,40.7793
63.83619638999569,-45.31893466,8.6482,15.0332,20.0548,25.2883,27.1158,28.5287,29.2957
63.83689523650526,-25.56052108,10.9181,18.6008,24.5446,31.3526,34.0,36.1464,36.921
63.83930594923693,-0.482484548,40.8272,69.3685,90.1126,111.6301,120.5001,128.5761,130.7237
63.83965975411509,-74.23704519,18.9916,35.1263,49.3272,67.3529,75.7259,83.8309,86.5763
63.840895987372335,-4.343956513,37.5899,60.7005,75.5205,88.389,92.7538,96.7373,98.5471
63.841525524344185,-11.69903788,26.7726,47.1253,62.3369,77.2741,82.5159,86.6274,88.1805
63.84240920249011,-65.54301109,26.6136,44.9225,58.1418,71.47,76.3603,80.3882,81.7544
63.84378289782624,-46.69793578,8.2504,16.2846,24.5206,35.9274,40.7777,44.7237,46.4274
63.84402447654913,-36.08838324,31.8789,54.5986,71.6508,90.02,97.4514,103.4513,105.0954
63.84402935002993,-46.69795228,12.78,22.5526,30.2305,38.3756,41.6832,44.7867,46.4018
63.845374503064,-3.037501305,16.28,26.3226,33.5275,42.9211,46.7448,49.7296,52.2306
63.84563788452191,-66.71552307,13.2152,23.1405,30.7461,38.8792,42.1711,44.8297,45.7533
63.84593536510274,-39.74653913,13.1202,21.6084,27.0859,31.883,33.573,35.1176,36.014
63.85150479657973,-72.90326202,24.0626,41.0437,53.0874,64.2277,68.0741,71.1044,72.0551
63.854344329505246,-47.20997787,12.0087,20.6255,27.1716,34.4874,37.5309,40.0012,40.8601
63.855044395848886,-61.85571848,30.252,49.995,63.4914,76.5577,81.1707,84.5489,86.7331
63.855906977248594,-4.678941543,49.7636,83.215,106.2534,127.3876,134.9862,140.8401,142.6003
63.85773748637632,-44.9816578,12.1883,20.0541,25.1968,29.7503,31.315,32.5504,33.1637
63.857904089947695,-33.88297387,43.7709,70.7649,88.5859,106.613,113.3932,118.3899,119.6722
63.85872719060018,-54.18821698,33.3251,56.0727,73.6114,98.3865,110.6281,117.6524,118.9827
63.8603471462649,-52.71897109,17.8136,31.6904,43.628,58.3273,63.9144,67.8235,68.9508
63.860652372165525,-52.7188308,13.8586,26.8269,39.9695,57.5194,63.7854,67.84,68.9571
63.861117863916334,-66.57206568,8.9668,15.6116,21.0794,28.1097,31.2582,34.0648,35.2698
63.8626661182504,-63.75085881,14.0146,24.0954,32.7705,44.852,49.4971,52.066,52.9465
63.86268178351024,-63.75110305,12.6229,23.6766,33.9383,45.8406,49.6389,52.0691,52.9443
63.86379490244101,-58.17596284019181,13.891,22.9508,28.9451,34.1651,35.8767,37.2288,37.9165
63.866858343450055,-57.02522959,41.6362,67.9811,84.7018,99.2203,104.1146,107.9188,109.0517
63.867356072062144,-2.828098443,8.8319,14.5171,18.2371,21.5016,22.5226,23.9138,25.2934
63.8684052465985,-64.95300603,22.8934,38.4246,50.1519,64.1512,69.6285,73.503,74.9952
63.86907197498464,-16.80429478,22.8065,39.6022,52.1795,64.6626,69.2691,72.8936,74.2097
63.87100699589769,1.9607528176182585,11.8312,21.598,29.8674,39.5144,44.086,49.0047,51.0807
63.87185370965782,-7.426721112,15.6092,29.4643,42.3045,58.6386,65.7951,71.8593,73.4545
63.871935175633816,-7.426534461,13.2675,25.6055,38.0447,56.5428,65.2588,71.9346,73.4095
63.87230071650984,-6.068511694,16.1851,26.7516,33.7015,39.9509,42.1785,44.3918,45.8636
63.873753523325824,-63.58704609,11.5205,22.33,32.0116,42.1305,45.3245,47.4986,48.3845
63.87377048090988,-63.58684328,16.0199,26.7154,34.6138,42.8386,45.5649,47.4993,48.3261
63.87387933210264,-17.50814839,30.0242,50.7016,65.8803,81.6916,87.5078,91.8678,93.0178
63.87433936601008,-46.32612651,10.4212,18.7516,26.1813,36.0249,40.2139,43.386,44.4674
63.87443433438677,-3.634078163,20.37,32.603,40.4139,47.1165,49.2802,51.4429,53.2538
63.87453517040217,-42.90002526,48.977,86.2394,115.5348,146.5654,158.6124,168.6051,171.0145
63.87536363028634,-70.53189005,38.1541,65.8255,87.2256,110.4381,118.952,125.1753,127.2551
63.87706541846506,10.712992130972314,17.1307,32.5847,47.3099,67.8934,78.0973,86.3204,88.5305
63.877499586070336,6.089359965632816,8.6012,14.7556,19.4461,24.5503,26.7921,28.941,30.5998
63.88509395239347,-9.109682756,31.5056,51.0359,63.698,75.3869,79.4069,82.6866,84.3729
63.887718689874376,-40.47080243,11.0786,18.3413,23.0173,27.0463,28.4008,29.4965,29.9997
63.88889071777194,-28.96562388,65.5911,112.3819,147.2452,185.0216,200.9229,215.0938,218.4529
63.88988820090682,-21.05154086,48.9651,82.9448,107.0793,129.6553,137.441,143.5045,145.0129
63.89055781706016,-34.5258633,56.256,90.081,111.2057,129.3876,135.421,140.2658,141.6112
63.89153733750874,-25.16681578,8.2824,14.4055,19.1844,24.2338,26.073,28.6296,32.1717
63.89156616790282,-5.16835212,32.2468,52.776,66.4592,78.843,82.9858,86.6264,88.3508
63.89300596182828,-46.54828868,12.6953,22.6949,30.771,39.6115,43.1555,46.1783,47.0316
63.89364788537486,-1.916601831,5.4329,10.3993,15.9454,24.3768,27.4181,29.2883,30.4629
63.893737980204754,-1.916797888,10.11,17.1612,22.2139,26.7172,28.0427,29.2922,30.3073
63.897337630670336,-8.031274986,35.1092,61.5086,81.2485,101.1519,108.6277,115.2076,117.4148
63.89758190941888,-72.75939349,19.4413,34.441,46.8492,61.9951,69.401,76.7567,79.1924
63.89831496508005,7.136245169470446,8.7899,16.0998,23.4868,37.071,44.9625,50.5588,53.0939
63.89832179836491,7.135965048504698,11.1513,20.7577,29.7724,41.9385,46.8607,50.7348,53.2707
63.89852031072188,-65.40054255,49.0886,81.2052,102.8762,123.0248,130.4514,136.7611,138.4429
63.89898359064595,-31.1211244,7.3044,12.611,16.5353,20.606,22.2391,23.7135,24.4936
63.90000875014647,-36.32836852,13.6668,23.065,29.7955,36.2984,38.6285,40.5027,41.3134
63.90319047747343,-13.5017692,12.1111,21.5463,28.8903,36.4411,39.3534,41.7224,43.0716
63.90344648490105,-76.69458773423497,6.8142,12.8987,18.5521,25.9197,29.2491,31.9049,32.7196
63.903815335219086,-76.69444567527867,7.1233,13.3114,18.9486,26.1549,29.3376,31.9215,32.7322
63.90689409546729,1.160067129579388,22.904,43.2978,61.6934,83.6405,92.4482,98.7172,101.0284
63.90980758714863,-73.81082827901217,5.5385,10.3714,14.7377,20.3492,22.8801,25.2047,26.2407
63.91156740212901,-7.136183699,39.0747,69.3868,93.2356,118.0336,127.3675,134.8041,136.9528
63.91169189011077,5.743190144217063,34.2445,59.7489,79.7249,101.1666,109.106,115.5996,117.8009
63.91616380051335,-35.8670053007233,9.8486,18.3996,27.0882,39.9547,45.4326,49.1695,50.0341
63.91643523555236,-35.86696990081894,12.7933,23.0284,31.8965,42.351,46.293,49.3142,50.0733
63.91702415284771,-77.2591079543085,14.1433,25.8171,35.6951,46.5244,50.4364,53.3899,54.6328
63.91826026488669,-58.04964554217092,19.3191,33.9122,45.1611,55.9405,59.3597,61.8028,62.6988
63.91831301357083,-58.049447884648025,15.1818,27.5729,39.2643,54.1444,58.9567,61.8101,62.7214
63.918364052635866,8.571540512546717,15.6127,28.7748,40.3887,53.6995,59.0647,63.7486,66.4365
63.91867854516726,-25.516537678820143,13.471,22.9664,30.0541,36.9202,39.4228,41.6086,42.6493
63.91965282680028,-22.814466392341863,15.492,27.577,37.4028,48.3737,52.8038,56.5596,58.1508
63.92051344841663,3.7443253534130063,11.253,22.0469,33.1556,50.5463,60.2355,70.1808,73.8042
63.92225616701385,-6.137820912,27.4054,48.7967,65.9465,84.4375,91.4398,96.5919,98.144
63.922708568351055,-5.676459436,8.984,14.755,18.9418,23.958,26.0717,27.8691,28.8591
63.92339770926912,-2.425265327,15.8109,26.0541,32.9487,38.8727,40.7682,42.7133,44.0507
63.92343978005592,0.2801762988471262,30.3669,52.206,68.2616,83.6849,89.4437,94.1464,95.5805
63.9242149220684,-45.94142075047002,44.9928,76.6587,99.064,120.2879,128.2906,135.5122,138.6984
63.92620072471519,-14.906326554092718,7.5462,14.9313,22.7582,35.1683,41.2285,46.7803,48.9821
63.92622638226557,-14.906058865627616,9.0718,16.706,23.893,35.123,41.1575,46.3509,48.7096
63.92706527966088,-78.03457206,24.2184,44.0504,60.9108,80.3812,87.9851,93.5562,94.8849
63.92895859114874,-40.08214649,21.5233,39.0251,54.0768,71.0797,77.385,82.2708,83.6396
63.92915966282394,-40.08212983,25.1351,44.3518,58.9731,73.0804,78.1756,82.3726,83.5751
63.92970332885607,-17.39405216,45.637,74.6207,93.0321,110.1125,115.8215,120.2611,121.7264
63.930656071148825,-41.14893825,31.746,56.5796,76.661,96.4276,102.7982,107.6358,109.9338
63.93102180986308,-3.381002929,38.0143,63.782,82.4694,99.317,104.5387,108.7449,110.8899
63.93245686501773,-6.904503418,32.9249,56.8745,75.7295,95.9947,103.3987,109.2591,111.7389
63.93396578668238,-44.41994111,17.7036,29.6026,37.9161,46.0138,48.9409,52.117,80.0834
63.93417052907522,6.357294492508024,13.4632,22.9017,29.6176,35.6854,37.6146,39.5083,41.3396
63.9369216236829,-57.37665906179721,10.9539,18.5249,23.5723,27.8512,29.2282,30.3987,31.3745
63.938518996800326,-14.903595405876594,9.6727,17.566,24.2988,33.1044,36.9024,40.3571,41.8606
63.93955624008129,-32.68477094,16.1723,26.9648,34.976,42.6494,44.9287,46.6783,47.4584
63.94144093849001,-5.954798367,47.5188,78.5482,99.226,117.7387,124.2932,129.5065,131.2375
63.94182545661241,-5.540353697,12.0407,21.6996,30.4369,41.54,45.6939,48.8116,50.1335
63.94197133965102,-5.540467187,15.3666,26.9283,35.5991,43.669,46.437,48.9494,50.2171
63.94224261444482,10.173750371250682,27.8742,50.4607,69.6801,92.4554,102.2152,109.985,112.1385
63.942353919512335,-10.15443891,33.2716,53.044,65.2394,75.821,79.4663,82.6246,84.362
63.94313074795461,-63.88411457,12.4848,20.5109,25.8112,30.5723,32.2673,33.8451,34.6474
63.9441945225288,-3.104201336,30.5644,49.5041,61.5525,71.7566,75.2277,78.4443,80.2705
63.947631043159646,-5.554792309,33.1771,54.0788,68.0344,80.9891,85.6909,89.677,91.2817
